2026-07-13 18:50:18 | INFO | download_data | [144/500] Saved: DELHIVERY.NS
2026-07-13 18:50:18 | INFO | download_data | [145/500] Saved: DEVYANI.NS
2026-07-13 18:50:18 | INFO | download_data | [146/500] Saved: DIVISLAB.NS
2026-07-13 18:50:19 | INFO | download_data | [147/500] Saved: DIXON.NS
2026-07-13 18:50:19 | INFO | download_data | [148/500] Saved: LALPATHLAB.NS
2026-07-13 18:50:20 | INFO | download_data | [149/500] Saved: DRREDDY.NS
2026-07-13 18:50:21 | INFO | download_data | [150/500] Saved: EIDPARRY.NS
2026-07-13 18:50:21 | INFO | download_data | [151/500] Saved: EIHOTEL.NS
2026-07-13 18:50:22 | INFO | download_data | [152/500] Saved: EICHERMOT.NS
2026-07-13 18:50:23 | INFO | download_data | [153/500] Saved: ELECON.NS
2026-07-13 18:50:23 | INFO | download_data | [154/500] Saved: ELGIEQUIP.NS
2026-07-13 18:50:24 | INFO | download_data | [155/500] Saved: EMAMILTD.NS
2026-07-13 18:50:24 | INFO | download_data | [156/500] Saved: EMCURE.NS
2026-07-13 18:50:25 | WARNING | download_data | No data for: EMMVEE.NS
2026-07-13 18:50:26 | INFO | download_data | [158/500] Saved: ENDURANCE.NS
2026-07-13 18:50:26 | INFO | download_data | [159/500] Saved: ENGINERSIN.NS
2026-07-13 18:50:27 | INFO | download_data | [160/500] Saved: ERIS.NS
2026-07-13 18:50:27 | INFO | download_data | [161/500] Saved: ESCORTS.NS
2026-07-13 18:50:28 | INFO | download_data | [162/500] Saved: ETERNAL.NS
2026-07-13 18:50:28 | INFO | download_data | [163/500] Saved: EXIDEIND.NS
2026-07-13 18:50:29 | INFO | download_data | [164/500] Saved: NYKAA.NS
2026-07-13 18:50:29 | INFO | download_data | [165/500] Saved: FEDERALBNK.NS
2026-07-13 18:50:30 | INFO | download_data | [166/500] Saved: FACT.NS
2026-07-13 18:50:31 | INFO | download_data | [167/500] Saved: FINCABLES.NS
2026-07-13 18:50:31 | INFO | download_data | [168/500] Saved: FSL.NS
2026-07-13 18:50:32 | INFO | download_data | [169/500] Saved: FIVESTAR.NS
2026-07-13 18:50:32 | INFO | download_data | [170/500] Saved: FORCEMOT.NS
2026-07-13 18:50:32 | INFO | download_data | [171/500] Saved: FORTIS.NS
2026-07-13 18:50:33 | INFO | download_data | [172/500] Saved: GAIL.NS
2026-07-13 18:50:33 | INFO | download_data | [173/500] Saved: GVT&D.NS
2026-07-13 18:50:34 | INFO | download_data | [174/500] Saved: GMRAIRPORT.NS
2026-07-13 18:50:34 | INFO | download_data | [175/500] Saved: GABRIEL.NS
2026-07-13 18:50:35 | INFO | download_data | [176/500] Saved: GALLANTT.NS
2026-07-13 18:50:35 | INFO | download_data | [177/500] Saved: GRSE.NS
2026-07-13 18:50:36 | INFO | download_data | [178/500] Saved: GICRE.NS
2026-07-13 18:50:36 | INFO | download_data | [179/500] Saved: GILLETTE.NS
2026-07-13 18:50:37 | INFO | download_data | [180/500] Saved: GLAND.NS
2026-07-13 18:50:37 | INFO | download_data | [181/500] Saved: GLAXO.NS
2026-07-13 18:50:38 | INFO | download_data | [182/500] Saved: GLENMARK.NS
2026-07-13 18:50:38 | INFO | download_data | [183/500] Saved: MEDANTA.NS
2026-07-13 18:50:39 | INFO | download_data | [184/500] Saved: GODIGIT.NS
2026-07-13 18:50:39 | INFO | download_data | [185/500] Saved: GPIL.NS
2026-07-13 18:50:40 | INFO | download_data | [186/500] Saved: GODFRYPHLP.NS
2026-07-13 18:50:40 | INFO | download_data | [187/500] Saved: GODREJCP.NS
2026-07-13 18:50:41 | INFO | download_data | [188/500] Saved: GODREJIND.NS
2026-07-13 18:50:41 | INFO | download_data | [189/500] Saved: GODREJPROP.NS
2026-07-13 18:50:41 | INFO | download_data | [190/500] Saved: GRANULES.NS
2026-07-13 18:50:42 | INFO | download_data | [191/500] Saved: GRAPHITE.NS
2026-07-13 18:50:43 | INFO | download_data | [192/500] Saved: GRASIM.NS
