date,long_return,short_return,spread,hit_rate,n_long,n_short
2020-04-03,0.11044637666978849,0.19383649458786267,-0.08339011791807419,0.8108108108108109,37,42
2020-04-07,0.07244709168036241,0.14627916843194844,-0.07383207675158603,0.7567567567567568,37,42
2020-04-08,0.04971834837647119,0.11285653408939546,-0.06313818571292426,0.7297297297297297,37,42
2020-04-09,0.03354252018442032,0.1010757031930524,-0.06753318300863208,0.6216216216216216,37,42
2020-04-13,0.031646176872075854,0.07267628200796496,-0.0410301051358891,0.6756756756756757,37,42
2020-04-15,0.02715693102790201,0.049921216070936615,-0.022764285043034606,0.5945945945945946,37,42
2020-04-16,-0.012250262296654005,-0.024154355906163875,0.01190409360950987,0.3783783783783784,37,42
2020-04-17,-0.04303650569647318,-0.058862281020105885,0.015825775323632704,0.32432432432432434,37,42
2020-04-20,-0.03591462905574568,-0.06252589308010292,0.02661126402435724,0.35135135135135137,37,42
2020-04-21,-0.008580006388282248,-0.02214002508022046,0.013560018691938212,0.4864864864864865,37,42
2020-04-22,-0.017704887034438604,-0.037477743765838414,0.01977285673139981,0.3783783783783784,37,42
2020-04-23,-0.02217746422089115,-0.05485493058809107,0.032677466367199925,0.4594594594594595,37,42
2020-04-24,-0.005656708578191998,-0.009128081596621675,0.0034713730184296777,0.4864864864864865,37,42
2020-04-27,-0.0013821635427675569,-0.001685634213557593,0.00030347067079003606,0.4594594594594595,37,42
2020-04-28,0.006025074595102195,-0.0032878595063562644,0.00931293410145846,0.5405405405405406,37,42
2020-04-29,0.02154558631761096,0.015154334520794935,0.006391251796816025,0.5675675675675675,37,42
2020-04-30,0.024478159714513375,0.026791182941291986,-0.0023130232267786106,0.5675675675675675,37,42
2020-05-04,0.0942075697989659,0.0694770597770171,0.0247305100219488,0.8,40,40
2020-05-05,0.09240125178050942,0.08139336629540721,0.011007885485102217,0.825,40,40
2020-05-06,0.10954386586905338,0.12081797045177027,-0.011274104582716896,0.875,40,40
2020-05-07,0.12008496154697382,0.1563528694210068,-0.03626790787403297,0.9,40,40
2020-05-08,0.11611299376456893,0.15305631536677328,-0.03694332160220434,0.9,40,40
2020-05-11,0.11993576356762856,0.16826019426005065,-0.04832443069242209,0.95,40,40
2020-05-12,0.11604489545734091,0.1453654735861172,-0.029320578128776295,0.875,40,40
2020-05-13,0.10237262755435558,0.12152290322634936,-0.019150275671993774,0.875,40,40
2020-05-14,0.10630214961569387,0.1292785696806545,-0.022976420064960618,0.875,40,40
2020-05-15,0.10851630194974146,0.13531862135276707,-0.026802319403025604,0.9,40,40
2020-05-18,0.13554944428314913,0.19853917259151718,-0.06298972830836805,0.925,40,40
2020-05-19,0.1488093790170088,0.22396471424234562,-0.07515533522533682,0.95,40,40
2020-05-20,0.14771406332183168,0.22340138474480123,-0.07568732142296955,0.925,40,40
2020-05-21,0.1468367061960379,0.23472485278513924,-0.08788814658910135,0.95,40,40
2020-05-22,0.16786742351574785,0.27336952361133876,-0.10550210009559091,0.925,40,40
2020-05-26,0.14913600258261864,0.24109051320564126,-0.09195451062302262,0.925,40,40
2020-05-27,0.15797786576249137,0.22791768593369194,-0.06993982017120057,0.95,40,40
2020-05-28,0.1403796053318803,0.21977532589743856,-0.07939572056555827,0.925,40,40
2020-05-29,0.11211476132804128,0.20380646517065557,-0.09169170384261428,0.85,40,40
2020-06-01,0.03919871921275189,0.13384494257457058,-0.09464622336181869,0.6976744186046512,43,47
2020-06-02,0.03350633003830473,0.1206532889345801,-0.08714695889627538,0.5813953488372093,43,47
2020-06-03,0.04158720201070896,0.12119308407784218,-0.07960588206713323,0.6511627906976745,43,47
2020-06-04,0.04111466447794363,0.12085288026284305,-0.07973821578489942,0.6511627906976745,43,47
2020-06-05,0.04282088223855718,0.09940181942036139,-0.05658093718180421,0.627906976744186,43,47
2020-06-08,0.040492177953251385,0.08966413612707858,-0.04917195817382719,0.627906976744186,43,47
2020-06-09,0.04201806978709916,0.09559108552613198,-0.053573015739032816,0.627906976744186,43,47
2020-06-10,0.03306709663591109,0.08903228990803366,-0.05596519327212257,0.6511627906976745,43,47
2020-06-11,0.04163448711192171,0.09376744703181668,-0.052132959919894965,0.6976744186046512,43,47
2020-06-12,0.040756947770620916,0.08299558144923616,-0.042238633678615245,0.6744186046511628,43,47
2020-06-15,0.03920326950805624,0.07645010162951874,-0.03724683212146249,0.6976744186046512,43,47
2020-06-16,0.026280582710593563,0.06778321952555164,-0.04150263681495807,0.6744186046511628,43,47
2020-06-17,0.0274836057791692,0.0654391340006062,-0.03795552822143701,0.6744186046511628,43,47
2020-06-18,0.03982188462209701,0.0526820324078728,-0.012860147785775794,0.7674418604651163,43,47
2020-06-19,0.03885346816798201,0.043163758229524445,-0.004310290061542432,0.6976744186046512,43,47
